"Iteration","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"IterationNumber",50,44,24,120,"16,06","0,000%","15,39598","5,56","38,23","370,0"
"IterationNumber",100,46,15,86,"16,50","0,000%","12,31588","4,45","30,59","370,0"
"IterationNumber",150,61,7,165,"32,08","0,000%","36,82427","13,31","91,45","370,0"
"IterationNumber",200,74,8,182,"39,13","0,000%","53,13779","19,20","131,96","370,0"
"IterationNumber",250,89,8,226,"50,64","0,000%","66,06416","23,87","164,06","370,0"
"IterationNumber",300,107,11,309,"59,96","0,000%","51,76162","18,70","128,54","370,0"
"IterationNumber",350,122,13,287,"66,89","0,000%","64,40216","23,27","159,94","370,0"
"IterationNumber",400,148,10,351,"83,94","0,000%","65,69439","23,74","163,15","370,0"
"IterationNumber",450,167,12,407,"97,52","0,000%","76,88890","27,78","190,95","370,0"
"IterationNumber",500,181,8,455,"103,81","0,000%","95,43077","34,48","236,99","370,0"
"IterationNumber",550,199,9,489,"119,03","0,000%","101,51722","36,68","252,11","370,0"
"IterationNumber",600,227,9,656,"143,92","0,000%","118,21263","42,71","293,57","370,0"
