48;228;34;44;34925
71;243;42;46;70673
102;252;58;61;113525
129;261;70;74;141480
161;288;85;89;179393
177;302;107;107;254351
214;317;124;122;252578
242;342;142;148;354394
274;340;165;167;403611
305;347;183;181;449728
332;377;223;199;403513
359;384;222;227;440371
